Date,Humidity
2023-06-09,75
2023-06-10,61
2023-06-11,55
2023-06-12,59
2023-06-13,64
2023-06-14,72
2023-06-15,71
2023-06-16,68
2023-06-17,57
2023-06-18,61
2023-06-19,75
2023-06-20,75
2023-06-21,66
2023-06-22,60
2023-06-23,62
2023-06-24,58
2023-06-25,58
2023-06-26,60
2023-06-27,75
2023-06-28,60
2023-06-29,61
2023-06-30,68
2023-07-01,61
2023-07-02,53
2023-07-03,53
2023-07-04,57
2023-07-05,57
2023-07-06,62
2023-07-07,50
2023-07-08,50
2023-07-09,68
2023-07-10,63
2023-07-11,66
2023-07-12,67
2023-07-13,62
2023-07-14,62
2023-07-15,64
2023-07-16,57
2023-07-17,54
2023-07-18,50
2023-07-19,61
2023-07-20,58
2023-07-21,60
2023-07-22,61
2023-07-23,66
2023-07-24,65
2023-07-25,52
2023-07-26,67
2023-07-27,59
2023-07-28,59
2023-07-29,54
2023-07-30,59
2023-07-31,57
2023-08-01,50
2023-08-02,56
2023-08-03,63
2023-08-04,51
2023-08-05,54
2023-08-06,50
2023-08-07,54
2023-08-08,67
2023-08-09,65
2023-08-10,55
2023-08-11,55
2023-08-12,52
2023-08-13,67
2023-08-14,61
2023-08-15,64
2023-08-16,63
2023-08-17,57
2023-08-18,64
2023-08-19,52
2023-08-20,63
2023-08-21,70
2023-08-22,65
2023-08-23,50
2023-08-24,65
2023-08-25,60
2023-08-26,56
2023-08-27,66
2023-08-28,53
2023-08-29,59
2023-08-30,53
2023-08-31,51
2023-09-01,70
2023-09-02,66
2023-09-03,73
2023-09-04,61
2023-09-05,56
2023-09-06,70
2023-09-07,62
2023-09-08,68
2023-09-09,63
2023-09-10,73
2023-09-11,62
2023-09-12,58
2023-09-13,62
2023-09-14,67
2023-09-15,59
2023-09-16,68
2023-09-17,57
2023-09-18,72
2023-09-19,74
2023-09-20,55
2023-09-21,71
2023-09-22,64
2023-09-23,75
2023-09-24,69
2023-09-25,56
2023-09-26,59
2023-09-27,62
2023-09-28,75
2023-09-29,68
2023-09-30,57
2023-10-01,60
2023-10-02,66
2023-10-03,58
2023-10-04,72
2023-10-05,59
2023-10-06,57
2023-10-07,56
2023-10-08,67
2023-10-09,56
2023-10-10,70
2023-10-11,66
2023-10-12,74
2023-10-13,63
2023-10-14,68
2023-10-15,60
2023-10-16,73
2023-10-17,59
2023-10-18,59
2023-10-19,57
2023-10-20,68
2023-10-21,72
2023-10-22,68
2023-10-23,62
2023-10-24,56
2023-10-25,69
2023-10-26,75
2023-10-27,57
2023-10-28,65
2023-10-29,66
2023-10-30,65
2023-10-31,67
2023-11-01,68
2023-11-02,68
2023-11-03,60
2023-11-04,64
2023-11-05,58
2023-11-06,65
2023-11-07,69
2023-11-08,55
2023-11-09,75
2023-11-10,75
2023-11-11,59
2023-11-12,56
2023-11-13,57
2023-11-14,56
2023-11-15,74
2023-11-16,68
2023-11-17,68
2023-11-18,73
2023-11-19,65
2023-11-20,56
2023-11-21,57
2023-11-22,56
2023-11-23,59
2023-11-24,66
2023-11-25,57
2023-11-26,58
2023-11-27,65
2023-11-28,65
2023-11-29,59
2023-11-30,74
2023-12-01,63
2023-12-02,59
2023-12-03,73
2023-12-04,61
2023-12-05,67
2023-12-06,75
2023-12-07,57
2023-12-08,66
2023-12-09,71
2023-12-10,56
2023-12-11,75
2023-12-12,64
2023-12-13,63
2023-12-14,70
2023-12-15,65
2023-12-16,58
2023-12-17,72
2023-12-18,59
2023-12-19,62
2023-12-20,64
2023-12-21,74
2023-12-22,65
2023-12-23,72
2023-12-24,58
2023-12-25,58
2023-12-26,72
2023-12-27,64
2023-12-28,62
2023-12-29,75
2023-12-30,61
2023-12-31,57
